onset	duration	event_type
2.01	3.50	cor_rejec
7.54	3.50	omiss
13.06	3.50	cor_rejec
18.56	3.50	hit
24.18	3.50	cor_rejec
29.66	3.50	false_alarm
35.36	3.50	omiss
43.36	3.50	omiss
50.86	3.50	cor_rejec
57.01	3.50	hit
62.53	3.50	cor_rejec
68.05	3.50	cor_rejec
73.55	3.50	cor_rejec
79.05	3.50	omiss
85.10	3.50	cor_rejec
90.58	3.50	false_alarm
96.02	3.50	omiss
101.55	3.50	cor_rejec
106.95	3.50	cor_rejec
112.58	3.50	cor_rejec
117.99	3.50	hit
123.52	3.50	cor_rejec
129.07	3.50	hit
134.52	3.50	cor_rejec
140.02	3.50	omiss
145.53	3.50	cor_rejec
151.25	3.50	hit
156.67	3.50	hit
162.21	3.50	hit
169.57	3.50	cor_rejec
177.57	3.50	hit
184.57	3.50	cor_rejec
190.04	3.50	hit
195.44	3.50	cor_rejec
200.89	3.50	cor_rejec
206.36	3.50	omiss
212.01	3.50	cor_rejec
219.41	3.50	hit
227.38	3.50	hit
234.58	3.50	omiss
240.12	3.50	hit
245.59	3.50	omiss
251.00	3.50	false_alarm
256.50	3.50	omiss
262.15	3.50	omiss
267.61	3.50	hit
273.01	3.50	omiss
278.80	3.50	cor_rejec
284.28	3.50	omiss
289.83	3.50	cor_rejec
295.31	3.50	cor_rejec
300.84	3.50	omiss
306.32	3.50	cor_rejec
311.94	3.50	cor_rejec
317.34	3.50	omiss
323.34	3.50	cor_rejec
328.89	3.50	false_alarm
334.31	3.50	omiss
339.79	3.50	cor_rejec
345.20	3.50	false_alarm
353.00	3.50	omiss
361.00	3.50	cor_rejec
367.10	3.50	omiss
372.58	3.50	false_alarm
377.98	3.50	cor_rejec
383.40	3.50	omiss
388.91	3.50	hit
394.55	3.50	omiss
399.95	3.50	cor_rejec
405.43	3.50	cor_rejec
410.85	3.50	hit
416.30	3.50	omiss
421.75	3.50	hit
427.95	3.50	cor_rejec
435.35	3.50	hit
443.35	3.50	omiss
450.40	3.50	false_alarm
455.95	3.50	cor_rejec
461.40	3.50	hit
466.85	3.50	omiss
472.37	3.50	cor_rejec
477.90	3.50	omiss
483.34	3.50	cor_rejec
488.85	3.50	hit
494.39	3.50	false_alarm
499.84	3.50	cor_rejec
505.41	3.50	hit
510.82	3.50	omiss
516.41	3.50	false_alarm
521.81	3.50	cor_rejec
